Institute,Semester,Course,Skill
MSRIT,4,Design and Analysis of Algorithms,counting sort
MSRIT,4,Design and Analysis of Algorithms,radix sort
MSRIT,4,Design and Analysis of Algorithms,bucket sort
MSRIT,4,Design and Analysis of Algorithms,hash tables
MSRIT,4,Design and Analysis of Algorithms,binary search trees
MSRIT,4,Design and Analysis of Algorithms,red-black trees
MSRIT,4,Design and Analysis of Algorithms,amortized analysis
MSRIT,4,Design and Analysis of Algorithms,dynamic programming
MSRIT,4,Design and Analysis of Algorithms,greedy algorithms
MSRIT,4,Design and Analysis of Algorithms,graph traversal
MSRIT,4,Design and Analysis of Algorithms,shortest paths
MSRIT,4,Design and Analysis of Algorithms,maximum flow
MSRIT,4,Design and Analysis of Algorithms,computational complexity
MSRIT,4,Design and Analysis of Algorithms,approximation algorithms
MSRIT,4,Design and Analysis of Algorithms,backtracking algorithm
MSRIT,4,Design and Analysis of Algorithms,sorting algorithms
MSRIT,4,Design and Analysis of Algorithms,graph algorithms
MSRIT,4,DATABASE MANAGEMENT SYSTEMS,data models
MSRIT,4,DATABASE MANAGEMENT SYSTEMS,schemas and instances
MSRIT,4,DATABASE MANAGEMENT SYSTEMS,entity relationship model
MSRIT,4,DATABASE MANAGEMENT SYSTEMS,relational model
MSRIT,4,DATABASE MANAGEMENT SYSTEMS,relational algebra
MSRIT,4,DATABASE MANAGEMENT SYSTEMS,sql data definition
MSRIT,4,DATABASE MANAGEMENT SYSTEMS,sql data types
MSRIT,4,DATABASE MANAGEMENT SYSTEMS,database design
MSRIT,4,DATABASE MANAGEMENT SYSTEMS,functional dependencies
MSRIT,4,DATABASE MANAGEMENT SYSTEMS,normal forms
MSRIT,4,DATABASE MANAGEMENT SYSTEMS,transaction processing
MSRIT,4,DATABASE MANAGEMENT SYSTEMS,two-phase locking techniques
MSRIT,4,Advanced Java,java
MSRIT,4,Advanced Java,inheritance
MSRIT,4,Advanced Java,exception handling
MSRIT,4,Advanced Java,lambda expressions
MSRIT,4,Advanced Java,multithreaded programming
MSRIT,4,Advanced Java,generics
MSRIT,4,Advanced Java,swing
MSRIT,4,Advanced Java,jdbc
MSRIT,4,Advanced Java,servlets
MSRIT,4,Advanced Java,jsp
MSRIT,4,Database Systems,sql
MSRIT,4,Database Systems,mongodb
MSRIT,4,Database Systems,sql queries
MSRIT,4,Database Systems,data definition language utilities
MSRIT,4,Database Systems,plsql
MSRIT,4,Database Systems,database schema
MSRIT,4,Database Systems,data update problems
MSRIT,4,Database Systems,query problems
MSRIT,4,Database Systems,programmatic components
MSRIT,4,Advanced Java Lab,java
MSRIT,4,Advanced Java Lab,queue implementation
MSRIT,4,Advanced Java Lab,custom exceptions
MSRIT,4,Advanced Java Lab,string operations
MSRIT,4,Advanced Java Lab,inheritance
MSRIT,4,Advanced Java Lab,polymorphism
MSRIT,4,Advanced Java Lab,encapsulation
MSRIT,3,Data Structures,collections
MSRIT,3,Data Structures,sorting
MSRIT,4,Data Structures,stacks
MSRIT,4,Data Structures,queues
MSRIT,4,Data Structures,push pop clear isempty display methods
MSRIT,4,Database Systems,jdbc
MSRIT,4,Database Systems,mysql database
MSRIT,4,Database Systems,database design
MSRIT,4,Java Programming,java
MSRIT,4,Java Programming,swing
MSRIT,4,Java Programming,validation
MSRIT,4,Java Programming,dialog boxes
MSRIT,4,Java Programming,gui components
MSRIT,4,Java Programming,jdbctemplate
MSRIT,4,Web Development,jsp
MSRIT,4,Web Development,html
MSRIT,4,Web Development,css
MSRIT,4,Web Development,data visualization
MSRIT,6,Devops,ci/cd
MSRIT,6,Devops,ci/cd pipelines
MSRIT,6,Devops,circuit breaker pattern
MSRIT,6,Devops,disaster recovery planning
MSRIT,6,Devops,docker
MSRIT,6,Devops,event-driven architecture
MSRIT,6,Devops,excel
MSRIT,6,Devops,feature engineering
MSRIT,6,Devops,feature stores
MSRIT,6,Devops,github actions
MSRIT,6,Devops,gitops
MSRIT,6,Devops,golang
MSRIT,4,Data Analytics with Python,data visualization
MSRIT,4,Data Analytics with Python,deep learning
MSRIT,4,Data Analytics with Python,generative ai
MSRIT,4,Data Analytics with Python,llm
MSRIT,4,Data Analytics with Python,llm fine-tuning
MSRIT,4,Data Analytics with Python,machine learning
MSRIT,4,Data Analytics with Python,python
MSRIT,5,Software Management,agile planning
MSRIT,5,Software Management,quality management
MSRIT,5,Software Management,project scheduling
MSRIT,5,Software Management,software pricing
MSRIT,5,Software Management,software quality
MSRIT,5,Software Management,teamwork
MSRIT,5,Software Management,risk management
MSRIT,5,Software Management,plan-driven development
MSRIT,5,Software Management,project planning
MSRIT,5,Software Management,managing people
MSRIT,5,Software Engineering,software engineering
MSRIT,5,Software Engineering,software development processes
MSRIT,5,Software Engineering,software architectural design
MSRIT,5,Software Engineering,software testing
MSRIT,5,Software Engineering,software project management
MSRIT,5,Software Engineering,software evolution processes
MSRIT,5,Software Engineering,software project management issues
MSRIT,5,Software Engineering,process improvement
MSRIT,5,Artificial Intelligence,problem-solving
MSRIT,5,Artificial Intelligence,intelligent agents
MSRIT,5,Artificial Intelligence,rationality
MSRIT,5,Artificial Intelligence,agents and environments
MSRIT,5,Artificial Intelligence,search algorithms
MSRIT,5,Artificial Intelligence,uninformed search strategies
MSRIT,5,Artificial Intelligence,informed search strategies
MSRIT,5,Artificial Intelligence,greedy best-first search
MSRIT,5,Artificial Intelligence,a* search
MSRIT,5,Artificial Intelligence,heuristic functions
MSRIT,5,Artificial Intelligence,adversarial search
MSRIT,5,Artificial Intelligence,optimal decisions in games
MSRIT,5,Artificial Intelligence,heuristic alpha-beta tree search
MSRIT,5,Artificial Intelligence,logical agents
MSRIT,5,Artificial Intelligence,knowledge based agents
MSRIT,5,Artificial Intelligence,first-order logic
MSRIT,5,Artificial Intelligence,representation revisited
MSRIT,5,Artificial Intelligence,syntax and semantics of first-order logic
MSRIT,5,Artificial Intelligence,inference in first-order logic
MSRIT,5,Artificial Intelligence,propositional versus first-order inference
MSRIT,5,Artificial Intelligence,unification
MSRIT,5,Artificial Intelligence,forward chaining
MSRIT,5,Artificial Intelligence,backward chaining
MSRIT,5,Artificial Intelligence,resolution
MSRIT,5,Computer Networks,networking
MSRIT,5,Computer Networks,tcp/ip
MSRIT,5,Computer Networks,osi model
MSRIT,5,Computer Networks,data link layer
MSRIT,5,Computer Networks,arp
MSRIT,5,Computer Networks,crc
MSRIT,5,Computer Networks,checksum
MSRIT,5,Computer Networks,ip addresses
MSRIT,5,Computer Networks,ipv4
MSRIT,5,Computer Networks,ipv6
MSRIT,5,Computer Networks,icmp
MSRIT,5,Computer Networks,routing algorithms
MSRIT,5,Computer Networks,distance vector routing
MSRIT,5,Computer Networks,link state routing
MSRIT,5,Computer Networks,multicast distance vector
MSRIT,5,Computer Networks,transport layer protocols
MSRIT,5,Computer Networks,simple protocol
MSRIT,5,Computer Networks,stop-and-wait protocol
MSRIT,5,Computer Networks,go-back-n protocol
MSRIT,5,Computer Networks,selective-repeat protocol
MSRIT,5,Computer Networks,piggybacking
MSRIT,5,Computer Networks,udp
MSRIT,5,Computer Networks,tcp
MSRIT,5,Computer Networks,dns
MSRIT,5,Computer Networks,port numbers
MSRIT,5,Computer Networks,domain name system
MSRIT,5,Theory of Computation,finite automata
MSRIT,5,Theory of Computation,deterministic finite automata
MSRIT,5,Theory of Computation,nondeterministic finite automata
MSRIT,5,Theory of Computation,finite automata with epsilon-transitions
MSRIT,5,Theory of Computation,regular expressions
MSRIT,5,Theory of Computation,equivalence and minimization of automata
MSRIT,5,Theory of Computation,context-free grammars
MSRIT,5,Theory of Computation,parse trees
MSRIT,5,Theory of Computation,pushdown automata
MSRIT,5,Theory of Computation,turing machine
MSRIT,5,Computer Networks,ns2
MSRIT,5,Operations Research,linear programming
MSRIT,5,Operations Research,simplex method
MSRIT,5,Operations Research,duality
MSRIT,5,Operations Research,game theory
MSRIT,5,Operations Research,project management
MSRIT,5,Operations Research,transportation problem
MSRIT,5,Operations Research,assignment problem
MSRIT,5,Mobile Application Development,swift
MSRIT,5,Mobile Application Development,xcode
MSRIT,5,Mobile Application Development,swift strings
MSRIT,5,Mobile Application Development,interface builder
MSRIT,5,Mobile Application Development,swift programming
MSRIT,5,Mobile Application Development,uikit
MSRIT,5,Mobile Application Development,auto layout
MSRIT,5,Mobile Application Development,swift fundamentals
MSRIT,5,Mobile Application Development,swift data collections
MSRIT,5,Mobile Application Development,swift language
MSRIT,5,Mobile Application Development,swift constructs
MSRIT,5,Mobile Application Development,class
MSRIT,5,Mobile Application Development,structures
MSRIT,5,Mobile Application Development,enums
MSRIT,5,Mobile Application Development,segues
MSRIT,5,Mobile Application Development,navigation controllers
MSRIT,5,Mobile Application Development,tab bar controllers
MSRIT,5,Mobile Application Development,table views
MSRIT,5,Mobile Application Development,scroll views
MSRIT,5,Distributed Systems,distributed transactions
MSRIT,5,Distributed Systems,remote procedure call
MSRIT,5,Distributed Systems,synchronizing physical clocks
MSRIT,5,SOFTWARE DESIGN PATTERNS,design patterns
MSRIT,5,SOFTWARE DESIGN PATTERNS,open-closed principle
MSRIT,5,SOFTWARE DESIGN PATTERNS,uml
MSRIT,5,SOFTWARE DESIGN PATTERNS,facade pattern
MSRIT,5,SOFTWARE DESIGN PATTERNS,adapter pattern
MSRIT,5,SOFTWARE DESIGN PATTERNS,strategy pattern
MSRIT,5,SOFTWARE DESIGN PATTERNS,bridge pattern
MSRIT,5,SOFTWARE DESIGN PATTERNS,abstract factory pattern
MSRIT,5,SOFTWARE DESIGN PATTERNS,observer pattern
MSRIT,5,SOFTWARE DESIGN PATTERNS,template method pattern
MSRIT,5,SOFTWARE DESIGN PATTERNS,singleton pattern
MSRIT,5,SOFTWARE DESIGN PATTERNS,factory method pattern
MSRIT,5,NoSQL Databases,nosql databases
MSRIT,5,NoSQL Databases,key value database
MSRIT,5,NoSQL Databases,document databases
MSRIT,5,NoSQL Databases,column family databases
MSRIT,5,NoSQL Databases,graph databases
MSRIT,5,Frontend Development Using React JS,jsx
MSRIT,5,Frontend Development Using React JS,react components
MSRIT,5,Frontend Development Using React JS,event handling in react
MSRIT,5,Frontend Development Using React JS,react devtools
MSRIT,5,Frontend Development Using React JS,react routing
MSRIT,5,Frontend Development Using React JS,css modules
MSRIT,5,Frontend Development Using React JS,hooks in react
MSRIT,6,Machine Learning,supervised learning
MSRIT,6,Machine Learning,clustering
MSRIT,6,Machine Learning,validation methods
MSRIT,6,Machine Learning Lab,scikit-learn
MSRIT,6,Machine Learning Lab,confusion matrix
MSRIT,6,Machine Learning Lab,roc & auc curves
MSRIT,6,Machine Learning Lab,auc
MSRIT,6,Machine Learning Lab,decision tree
MSRIT,6,Machine Learning Lab,knn
MSRIT,6,Machine Learning Lab,naive bayes classifier
MSRIT,6,Machine Learning Lab,k-means model
MSRIT,6,Machine Learning Lab,hierarchical clustering
MSRIT,6,Machine Learning Lab,dbscan
MSRIT,6,DevOps,project planning
